page,rank
Contact_us_afd6.html,0.00050
About_8d82.html,0.00050
Contents_b878.html,0.00050
General_disclaimer_3e44.html,0.00050
Featured_content_5442.html,0.00050
Current_events_bb60.html,0.00050
Community_Portal_6a3c.html,0.00050
Contents_22de.html,0.00050
RecentChanges_e0d0.html,0.00050
Categories_101d.html,0.00049
Stub_72af.html,0.00017
SmackBot_cc7a.html,0.00012
Find_or_fix_a_stub_e7c5.html,0.00010
Perfect_stub_article_2d8f.html,0.00009
Alaibot_de3d.html,0.00007
Disambiguation_78fc.html,0.00005
United_States_09d4.html,0.00005
Living_people_7259.html,0.00005
Bluebot_e595.html,0.00004
Geographic_coordinate_system.html,0.00004
